Question;Reponse
Quels sont les roles FSMO ayant comme limite le domaine ? ; Emulateur PDC , Maitre d infrastructure , Maitre RID
Je suis replique a l echelle de la foret, je contiens les informations de classe et attributs de tous les objets de l AD, qui suis je ? ; Je suis la partition de schema !
Quelle est la premiere action d un poste lorsqu un utilisateur se connecte pour la premiere fois dans le domaine ? ; Le poste effectue une requete DNS de type SRV pour recuperer les informations concernant l enregistrement _Kerberos
Je souhaiterai mettre en place la possibilite de se connecter dans mon domaine Pillule.Rouge avec des logins de type : Neo@Matrix.elu , comment puis je faire ? ; Il faut mettre en place le routage des suffixes de noms (UPN) > console Domaine et Approbation > proprietes > ajouter le suffixe UPN matrix.elu , PUIS editer les proprietes de l utilisateur pour qu il puisse utiliser ce suffixe UPN.
La replication AD s effectue tous les combiens par defaut en INTRASITE et en INTERSITE ? ; INTRASITE = 15 secondes - INTERSITE = 180 min 
Pour que la replication se deroule correctement, quels services doivent être operationnels ? ; Kerberos, DNS et le reseau doivent tous etre operationnel.
Sur quel systeme de replication se base SYSVOL ? Et la base AD ? ; SYSVOL se replique via DSFR (anciennement FRS) et la Base AD par DRA (Directory Replication Agent)
Quel agent se charge de generer la topologie de replication en Intersite ? Et en Intrasite ? ; En intrasite = KCC (Knowledge Consistency Checker) , En Inter site = ISTG (Intersite Topology Generator)
Donnez moi les commandes qui permettent de : verifier l etat de la replication, forcer la replication, synchroniser les partenaires de replication, forcer la verification de la topologie ? ;  Afficher les partenaires REPADMIN /showrepl DC01 // Forcer la replication REPADMIN /replicate DC_cible DC_source partition  //  Synchroniser les partenaires REPADMIN /syncall   //  Forcer la verification de topologie REPADMIN /kcc 
Quelle commande permet de realiser des tests de replication et d afficher un rapport complet ? ; La commande DCDIAG
Par defaut comment est configurer la replication de la base AD ? Qui la gere ? ; La config par defaut ne met en place qu un seul site (Default first site name), KCC va alors generer la topologie tout seul et creer les connexions entre les differents DC, la replication sera effectuee toutes les 15 secondes 
Dans le cas d'une configuration avec plusieurs sites, comment un client reconnait il qu il doit s authentifier aupres d un DC et pas d un autre ? ; Il va faire une requete au DNS pour recuperer les enregistrements SRV liés a son site (et donc son subnet), il y a une partie specifique a chaque site dans la zone dns ( _SITE)
A quoi sert la case <Relier tous les liens de sites> dans les propriétés du conteneur IP dans la console Sites et services AD ? Est elle cochee ou decochee par defaut ? ; Par défaut cette case est cochee, KCC va avoir un comportement transitif et va relier tous les liens de sites , or si entre mon site 2 et mon site 3 il n'y a pas de connexion cela peut poser probleme.
Comment puis je creer un Pont de liaison entre 2 liens inter site ? Dans quel cas de figure dois je en creer ? ; Il faut creer manuellement un pont de liaison entre les liens inter site si nous avons decoché la case <Relier tous les liens de sites> , Pour le créer : Sites et services AD > Site > Inter-Site Transports > IP > clic droit > Nouveau pont entre lien de sites
A quoi correspond le coût dans le cadre d un lien de replication intersite ? ; Elle correspond a la vitesse de la ligne entre ces sites, plus la valeur est faible, plus la ligne est rapide
Le traffic lié à la replication de la base AD est il compressé par défaut ? ; En intrasite non, en intersite oui
Si je n utilise pas de catalogue global sur un site distant mais que je souhaite que le DC possède les informations 
J ai créé un utilisateur et une GPO sur un DC, je retrouve bien l utilisateur sur le 2eme DC mais pas la GPO, qu est ce qui pose probleme ? ; La replication de la base AD semble fonctionner correctement, mais la replication SYSVOL elle pose probleme (attention, la version de la GPO est stockée dans la base AD et le contenu de la GPO dans le SYSVOL) 
Donnez moi les differentes etapes dans le processus de replication INTRASITE ; 1- maj d un objet de l AD // 2-- 15 secondes apres l integration dans la base AD > notification du premier partenaire // 3- L agent DRA du premier partenaire initie la replication // 4- 3 secondes après avoir notifié son portenaire le DC source notifie son second partenaire de la maj // 5- L agent DRA du 2e partenaire initie a son tour la replication // etc ...
Quelles sont les cmdlet Powershell pour la gestion des replications de la base AD ? ; Get/New/Remove/Set-ADReplication ...
Quel type de modification dans l AD entraine une replication urgente sans delai ? ; les maj concernant la securite (Dé/Verouillage de compte, Password, FSMO,...) 
Quel est le role de KCC dans la mise en place d une replication INTER SITE ? ; Pour chaque site AD, le KCC d un des DC du site est désigné ISTG, il participe a la construction de la topologie de replication et designe le ou les serveurs de tete de pont par partition , et enfin il crée les objets de connexion.
Quelles sont les 3 contraintes respectées par KCC dans l'établissement d'une topologie de réplication ? ;  1- Toutes les maj devront être répliquées en 3 sauts MAX , 2- Les connexions créées sont UNIDIRECTIONNELS , 3- Les connexions sont toujours créées par paire (pour couvrir les 2 sens)
