Question;Reponse
Je suis charge de dimensionner les nouveaux serveurs (VM) de messagerie pour une tres grosse entreprise, il y aura 7900 mailbox actives de creees, Combien de coeur de cpu et de ram dois je prevoir ?;Pour le CPU : 7900 mailbox arrondies a 8k >> 8000/1000 = 8 coeurs (~1 par 1000 boites actives) + 1 coeur pour l'OS donc 9 coeurs, Pour la RAM : 8000/3 = 2700 mo(arrondi) (3mo / mailbox) il faut donc ajouter les 8go du serveur de base + 3 Go = 11Go de ram minimum.
Quel est le type d'enregistrement DNS indiquant les informations du serveur de messagerie ?;Ce sont les enregistrements de type MX
Quelle extension de fichier je dois regarder dans l'arborescence de fichier pour verifier que ma BDD est dans tel dossier ? ;Les BDD sont des fichiers .EDB
Que se passe t il concretement quand mon serveur BAL reçoit un mail ?;1) Le serveur ecrit dans un journal de transaction et dans le cache memoire la reception du mail, 2) Puis il ecrit la transaction du cache memoire vers la BDD appropriee, 3) enfin il met a jour le fichier .chk pour indiquer que le mail est bien sur la BDD 4) Le client peut acceder au message.
J'ai installe mon serveur exchange, tout s'est bien deroule, j'ai cree mes 5 BDD que je vais utiliser, j'ai cree des utilisateurs, enfin j'essaie de tester un envoi de mail depuis le compte administrateur vers un autre mais la j'ai un message d'erreur, pourquoi ? (pourtant pas de prblm rsx);Lors de la creation et le mount des BDD, il faut deplacer la BAL de l'administrateur qui est par defaut dans la premiere BDD (qui ici est demontee dû a la creation et utilisation des 5 autres).
A quoi ça va me servir d'ajouter un domaine accepte ?;Le domaine accepte permet de gerer les mails qui seront envoyes sur le nom de domaine publique de l'entreprise, on pourra par la suite ajouter une strategie d'adresse autres que locales.
Pourquoi utiliser un strategie d'adresse de messagerie ?;Les strategies d'adresse de messagerie permettent d'attribuer automatiquement le format d'adresse specifiquement souhaite aux destinataires.
J'ai cree une strategie d'adresse de messagerie pour que les utilisateurs aient : p.nom@babidi.boo , la strategie est creee, est bien visible mais les utilisateurs ne recuperent pas le format , pourquoi ?;Apres la creation d'une strategie d'adresse de messagerie il faut l'appliquer !
Que se passe t il si je supprime la mailbox d'un utilisateur ? ;Attention la suppression de la mailbox d'un utilisateur va supprimer l'utilisateur de l'AD en plus de la mailbox ! Il faut preferer la desactivation 
J'ai accidentellement supprime une mailbox d'un utilisateur, j'ai recuperer le compte AD mais pas la boite au lettre, le logiciel de sauvegarde n'a rien, comment puis je faire ?;Exchange garde la boite au lettre apres une suppression pendant 30 jours par defaut, ceci est lie a la politique de retention de la mailbox.
J'ai une base de donnee plantee, quelle commande Powershell peut potentiellement reparer la BDD ?;New-MailBoxRepairRequest 
En quoi consiste un DAG ? ;Un DAG est un cluster de serveurs BAL avec des copies des BDD sur les serveurs, si une BDD plante, la BDD inactive copiee sur un autre serveur doit prendre le relai
Sur quel service reseau la messagerie repose enormement ?;Sur le DNS 
L'un de mes utilisateurs a supprime un mail accidentellement, comment puis je le recuperer sans effectuer une recuperation via un logiciel de sauvegarde, ... ?;Grâce a la duree de retention des elements supprimes dans les parametres de la mailbox
MTA MDA, qu'est ce que c'est ? ;Le MTA (Mail Transport Agent) est le serveur Front end, autrement dit le CAS, c'est le serveur charge du transport de courrier.   --- Le MDA (Mail Delivery Agent) est le serveur Back end qui est charge de stocker les mails
J'ai entendu parler de MUA, qu'est ce que c'est ?;Le MUA (Mail User Agent) est le client de messagerie de l'utilisateur (Outlook, Thunderbird, Lotus, ...) 
J'ai reçu une erreur en envoyant un mail, il est indique que la reponse HELO n'est pas correcte, qu'est ce que ça signifie ?;Cela signifie que dans le connecteur d'envoi du serveur MTA, le message HELO ne contient pas le bon FQDN qui est cense identifier le serveur de messagerie emetteur. (Ou que le DNS ne possede pas le bon enregistrement)
Quels sont les 3 services de transport utilise par Exchange ?;Le service de transport frontal (srv CAS), Le service de transport HUB (srv BAL) et le service de transport de boite au lettre (srv BAL).
A quoi sert le service de transport HUB ?;Le service de transport HUB permet le relais entre le service de transport frontal et le service de transport de boite au lettre, il gere les flux SMTP, categorise les mails et inspecte le contenu de ces derniers.
A quoi sert le service de transport frontal ? ;Il traite les adresses IP SMTP source, les domaines de messagerie de l'expediteur ainsi que les adresses de messagerie de l'expediteur et du destinataire.
Le service de transport de boite au lettre est compose de 2 sous services, lesquels ? ;Du service de depôt pour l'envoi des mails et du service de remise pour le stockage du mail dans la BDD.
Quel est le serveur qui envoi le mail vers le serveur de destination ?;C'est le serveur CAS qui gere l'envoi vers le serveur SMTP de destination
Un utilisateur a envoye un mailing a enormement de monde (plusieurs centaines, voir milliers de destinataires), et ma supervision m'a remonte l'information, comment indentifier l'expediteur ?;Il suffit d'ouvrir la console afficheur de file d'attente et regarder dans la file d'envoi l'expediteur de tous les messages en attente.
Quel outil dans la console ECP permet de verifier la bonne remise d'un mail ?;Il faut utiliser le rapport de remise. (aussi appele trace)
Je souhaite tester le bon fonctionnement de mes serveurs de messagerie, quel outil en ligne de commande peut m'aider ?;TELNET (attention fonctionnalite qui n'est plus installee par defaut sur windows)
J'ai besoin de creer une regle de transport qui va rediriger les mails contenant un mot cle dans le dossier courrier indesirable des utilisateurs, comment faire ?;Il faut creer une regle de transport qui va set le seuil SCL du message a 5. le seuil SCL a 5 va rediriger le message dans le dossier courrier indesirable, au dela il va être mis en quarantaine voir être supprime directement
A quoi sert le connecteur d'envoi ?;Le connecteur est utilise pour les connexions SMTP sortantes, il permet de diriger les mails en sortie, c'est grâce au connecteur d'envoi qu'on peut par exemple parametrer un relai SMTP externe sur lequel on enverra nos mails pour qu'il les achemine a son tour aux destinataires. 
Qu'est ce que le RBAC ? ;RBAC : Role base access group, c'est ce qui permet de contrôler ce que les administrateurs et les utilisateurs finaux peuvent realiser comme action.
Mon server exchange ne peut plus envoyer de mail ni en recevoir, il semblerait que ce soit lie au stockage, citez un probleme recurrent sur le serveurs exchange. ;Un probleme reccurent sur les serveurs Exchange, ce sont les logs, Exchange ecrit enormement de journaux et s'ils ne sont pas correctement parametres / nettoyes ils peuvent rapidement remplir le disque et bloquer le serveur (Exchange a besoin d'espace permanent pour pouvoir fonctionner correctement.
J'essaie d'envoyer un fichier .Iso de Windows10 a un collegue mais le message n'arrive jamais, pourquoi ?;La limite de taille des messages est par defaut definit a 35Mo, un fichier iso est trop volumineux pour passer par mail, il faut modifier le parametre dans le connecteur d'envoi (mauvaise idee pour les gros fichiers) ou trouver un autre moyen.
Des utilisateurs me demandent de pouvoir envoyer des mails depuis une même adresse mail et de pouvoir acceder a la boite de reception mais chacun de leur côte, que puis je leur proposer ?;Une boite mail partagee
Quelle fonctionnalite du serveur de transport permet la redondance des messages durant la duree de leur transport ?;C'est la Redondance des cliches instantanes ou Shadow Redundancy, le service de transport effectue une copie des messages avant l'envoi et les garde jusqu'a ce que le noeud suivant accuse reception du mail
J'ai 2 utilisateurs qui utilisent la même mailbox web non partagee, a quoi dois je faire attention pour que les mails arrivent correctement sur les 2 Outlook ? ;Il faut faire attention au protocole utilise, si c'est du pop3, le premier client qui recuperera le mail le supprimera du serveur et le 2e ne pourra pas y acceder. 
Citez au moins une alternative a Microsoft Exchange pour avoir un serveur de messagerie.;Zimbra, Bluemind ou Open Xchange ,...
Une coupure reseau a lieu, un utilisateur m'indique qu'il n'arrive plus a travailler sur son Outlook, il n'arrive même pas a acceder a ses dossiers de mails, ... Pourquoi ?;Il n'a pas coche la case mode mise en cache dans son client outlook, il ne peut donc pas travailler hors connexion.
