Question;Reponse
Comment se premunir du spam effectue par Centreon en cas de Flapping ?;Un parametrage particulier existe dans Centreon : Flapping, il premet d'etablir 2 seuils, un bas en dessous duquel un service est en etat normal et un haut au dessus duquel le service est normal, tant que le resultat de la sonde se situe entre les 2 seuils on est en etat de flap et les notif peuvent être desactivees.
A quoi faut il faire attention si l'on souhaite que centreon nous envoie des notifications par mail ?;Il faut parametrer un MTA (mail transfert Agent), Centreon n'etant pas un serveur de messagerie, il a besoin d'un MTA pour pouvoir envoyer les messages.
Que doit on configurer dans Centreon pour que le comportement de Network Outage puisse fonctionner correctement ?;Il faut bien parametrer les relations Parents / enfants entre les hôtes / services.
Nous avons une alerte qui remonte dans la supervision, je l'ai bien pris en compte, que puis je faire pour que l'alerte ne remonte plus dans l'interface ?;On peut acquitter l'alerte ou bien effectuer une maintenance dessus. Ne pas oublier de mettre un commentaire / des informations pour la traçabilite.
J'ai un nouveau client de supervision, je dois superviser 67 nouveaux serveurs, sur lesquels beaucoup de services sont a superviser, sur quoi puis je m'appuyer pour aller plus vite ?;Pour deployer beaucoup d'hosts il faut se baser sur les templates, de services et d'hosts, on peut aussi scripter grâce a la commande #centreon et des differents fichiers de conf contenus dans /etc/nagios. 
Je teste une sonde avant de la mettre en prod : [root@centos3-3 plugins]# ./check_rpc -H 192.168.0.1 rpcbind  , la commande fonctionne. Je vais donc creer la commande dans centreon et deploie la nouvelle sonde, mais une fois en prod la sonde ne fonctionne pas, pourquoi ?;Le test a ete effectue en tant que ROOT, hors il faut tester les commandes en tant que centreon-engine.
Un check actif local c'est quoi ? ;C'est un check execute depuis le serveur centreon et qui va sonder directement le sevice concerne sur l'agent supervise. Il n'y a pas d'intermediaire.
La sonde check_http en check actif local n'a pas reussi a remonter l'etat du service supervise, que va t il se passer dans un premier temps ?;Le serveur de supervision va envoyer un host check pour verifier si l'etat de l'host est OK ou non et en fonction du resultat il continuera de remonter dans l'arborescence ou indiquera le lieu precis où l'incident a lieu.
Un check actif distant c'est quoi ?;C'est un check qui n'est pas directement effectue par le serveur centreon, il y a un intermediaire entre lui et le service supervise, par exemple le service SNMPd sur la machine supervise ou un serveur qui servira de relai. 
Un check passif c'est quoi ?;Un check passif c'ets lorsque c'est l'agent qui informe le serveur de supervision de son etat, typiquement utilise pour les SNMP trap.
Quelle action faut il faire apres une modification dans la conf de Centreon ?;Il faut appliquer les changements en exportant la conf dans la BDD de Centreon (> configuration > pollers > Apply configuration)
Je ne sais pas comment me servir d'une sonde, mon formateur prefere me dit de lire le man mais je n'arrive pas a ouvrir le man pour cette commande check_... , comment faire ? ;Pour comprendre l'utilisation d'une commande de check il faut executer la commande suivi de -h , exemple : check_rpc -h , on peut aussi, si le fichier le permet, l'ouvrir et regarder le script derriere.
Mon formateur prefere me dit d'utiliser des variables lors de la creation de mes commandes pour faciliter la portabilite de ces dernieres, mais Centreon ne semble pas comprendre les differentes variables que je lui demande d'interpreter comme : check_ping -H $adresseip ,   pourquoi ? ;Dans Centreon on peut utiliser les maccros qui font la même chose et qui sont interpretees par Centreon correctement, au travers des maccros a definir $USERx$ ou des maccros predefinies comme $HOSTADDRESS$ ou des maccros experts comme $_HOSTBLABLA$ et enfin des $ARGx$.
Je souhaite utiliser la commande check_snmp_storage.pl , mais lors de mes tests l'agent snmp de la machine cliente indique une erreur de community, pourquoi ?;C'est la mauvaise communaute qui a ete indique dans les parametres de la commande, par defaut la communaute snmp est : public
Dans le cas de figure d'une supervision distribuee avec plusieurs serveurs centreon, comment les serveurs Pollers vont recuperer les fichiers de conf ?;Ils vont recuperer les fichiers de conf depuis le serveur Centreon Central database au travers de fichier conf transmis par SSH via l'utilisateur centreon (il faudra au prealable faire un echange de key ssh)
Comment le serveur central envoie les donnees SQL aux serveurs pollers ?;It's a TRAP !!! ce sont les serveurs pollers qui envoient les donnees vers la database SQL avec NDO2b ou centreon-broker, que le Central recupere pour les afficher dans l'interface de monitoring web
A quoi sert NDOutils ? Comment ça fonctionne ?;C'est un module compose de 2 autres modules : NDOMOD qui permet de recuperer les infos remontees par Nagios et les transmettre a NDO2DB qui ecoute sur le port 5669 TCP et va ecrire les donnees sur la base SQL
Dans le cas de figure où il y a un central, une base SQL reliee au central, un poller et un poste supervise dans le reseau du poller. On configure une sonde check_disk pour superviser donc ce poste, qui effectue le check concretement ?;C'est le Poller qui effectue le check et qui envoie les infos dans la base SQL du central.
Qui gere l'interface Web de centreon dans une infra de supervision distribuee avec plusieurs pollers ?;C'est le serveur qui possede le rôle Centreon, habituellement le centreon central database
De quoi est compose un poller de supervision ? ;Il est compose d'un moteur de supervision (Nagios, Centreon engine, ...) et des NDOutils ou Centreon-broker.
De quoi est compose le serveur Central dans le cas d'une infra de supervision distribuee ?;Il est compose d'un moteur de supervision (centreon-engine, nagios, ...), du module Centreon (interface-web), de NDOutils ou centreon-broker, d'une base de donnee SQL.
Quel fichier me permet de configurer le snmp ainsi que les community sur mes postes clients de supervision ?;C'est le /etc/snmp/snmpd.conf
Mon service babidi est tombe sur mon serveur boo, est-il possible de le relancer depuis mon centreon ?;Oui si le snmp est ouvert en ecriture pour une community dans le fichier snmpd.conf de l'agent supervise.
Où puis je modifier le nom de la communaute snmp qui aura acces aux infos de mon client Windows ? ;Dans les proprietes du service SNMP
Quelle autre alternative y a t il a un check_snmp... ? ;Il existe le check_nrpe ou check_nsc
