Question;Reponse
A quels chapitres correspondent les differentes parties de la methode PDCA ? (exemple Plan = chapitres 3 et 12, Do = 6 et 2, ... ) ; Plan = 4/5/6/7 , Do = 8, Check = 9, Act = 10
La societe Babidi corp est en pleine mise en oeuvre de son SMSI avec pour objectif une certification 27001. Lors des differentes phases, ils ont observe un defaut concernant l exigence 7.3 sur la sensibilisation. Une operation de sensibilisation est alors prevue dans plusieurs semaines.  Peuvent ils pretendre a la certification dans l immediat ? ; Non, Il n est pas admis qu une organisation s affranchisse de l une des exigences specifiees aux articles 4 a 10 lorsqu elle revendique la conformite a la presente norme.
De quels sujets traite le chapitre / article 4 de la norme ISO 27001 ? ; Du contexte, le but est de comprendre l organisme et son contexte, identifier les parties prenantes, les exigences ainsi que le perimetre du SMSI.
Quelles sont les differences entre une PSI et une PSSI ? ; La PSI est "globale", en lien direct avec la vision de l organisme. Elle est assez courte et oriente la securite de l information de maniere tres accessible. La PSSI est elle plus concrete et va traiter des risques, mesures de securite,... Elle est nettement plus consequente et va traiter de la securite du SI dans le detail sans rentrer dans les procedures tout en se conformant aux directives de la PSI. (Si la PSI indique qu il est necessaire de suivre la norme 27001 > la PSSI explique ce qui sera mis en place pour s y conformer).
Quelle norme traite des exigences du SMSI ? ; La norme ISO 27001.
Quelle norme traite des indicateurs pour le SMSI ? ; ISO 27004.
Quelle norme est un guide de mise en oeuvre d un SMSI ? ; ISO 27003.
Quelle difference y a t il entre une norme et une reglementation ? ; La reglementation est redigee par les autorites administratives (etat, senat, ...) et est issue d un traitement legal > Elle est donc imposee. La norme elle n est pas obligatoire.
Quel chapitre d ISO 27001 traite de l implication de la direction dans le SMSI ? ; Le chapitre 5 : Leadership.
Quels sont les elements du chapitre 4 de 27001, qui sont utilises pour la determination du domaine d application du SMSI ? (le perimetre) ; Les articles 4.1 (enjeux externes /internes ) et 4.2 (exigences des parties prenantes).
Donnez les roles obligatoires qui sont listes dans le point 5.3 ? ; RSSI - RSI/DSI - RH - Auditeur interne - Responsable de la gestion documentaire - Responsable Helpdesk 
Dans quelle partie de la norme ISO 27001 allons nous traiter les risques identifies lors de l analyse de risques ? ; 8.3 Traitement des risques de securite de l information.
Est il possible de choisir les mesures de securite que nous allons appliquer sur notre perimetre ou sommes nous obliger de tout appliquer ? Pourquoi ? ; Oui il est possible de choisir les mesures via la DDA (declaration d applicabilite) en justifiant celles choisies et ecartees. Attention toutefois les mesures vues dans les chapitres 4 a 10 sont obligatoires ! 
Dans quel article de 27001 allons nous rediger la DDA ? ; Dans l article 8.3 Traitement des risques de securite de l information.
Quel est le but du chapitre 6 de la norme ISO 27001 ? ; 6 = Planification, le but est de definir la methode et les differents elements utilises pour l analyse de risque, puis definir les objectifs de securite et les livrables qui feront suite a l AR (DDA ainsi que le plan d action, ...)
Quels sont les differents types de mesures de securite ? ; Prevention/ Detection / Correction.
Citez les 3 types de perimetres applicables a un SMSI? ; Organisationnelles, Systemes d informations, Physiques.
Quels sont les roles de la direction lors de la mise en place d un SMSI ? ;  Etablir les objectifs et la strategie, Confirmer les roles et responsabilite, Valider les politiques, Approuver les criteres d acceptation ainsi que les risques residuels, Approuver le plan de traitement des risques, Attribuer les ressources necessaires.
Qu est ce que la DDA ? ; Declaration D Applicabilite  qui annonce les mesures de securite de l annexe A ISO 27001 qui ont ete retenu dans les 114 mesures disponibles (ISO 27002).
Citez les 11 mesures de securite obligatoires de l annexe A pour la certification ISO 27001 ? ; Politique de securite (2x), roles et responsabilites , responsabilite de la direction, sensibilisation, procedures d exploitation, gestion des changements, relation avec les fournisseurs, identifcation de la legislation en vigueur, conformite avec les politiques, verification de la conformite technique.
Vrai ou Faux, la sensiblisation ne concerne que le personnel operationnel ? ; Faux, il concerne tout le personnel. 
Quels sont les 4 points cles de la gestion de la documentation ? ;  Distribution et acces, Stockage/conservation , Controle des modifications, Duree de conservation.
Quelle est la difference entre un audit interne et un audit externe ? ; L audit externe est independants des activites ET de l audite, il ne tient compte que de l efficacite du SMSI et il n a Pas de role de conseil.
Quelle est la chronologie d une implementation d un SMSI ISO 27001 ? ; Etude du contexte => PSI ==> Analyse de risques ? DDA ? PSSI ? Politiques ? Procedures ==> Amelioration continue (audit interne + analyse de risques) ==> audit a blanc ==> passage de la certification.
Quels sont les criteres pour obtenir une certification ISO 27001 ? ; Respecter les articles 4 a 10 de la norme, appliquer les mesures de securite listees dans la DDA, effectuer une amelioration continue du SMSI.
L audit interne doit-il etre imperativement effectue par du personnel interne a l entreprise ? ; Non, on peut sous-traiter a un tiers.
Combien de non-conformite majeure a la norme ISO 27001 sont necessaires pour ne pas obtenir la certification ? ; Une seule.
Combien de non-conformite mineure a la norme ISO 27001 sont necessaires pour ne pas obtenir la certification? ; Il n y a pas de regle definie concernant les non conformites mineures.
Quel est le cycle de vie de la documentation ? ;  Creation/Modification =>  Verification  => Approbation =>  Diffusion =>  Utilisation => Archivage => Destruction => Creation /Modification ...
Quelles sont les 3 "etapes" de l article 9 de la norme ISO 27001 ? ; Determination des indicateurs et des acteurs (mesure, surveillance) > Audit interne (recolte) >  Analyse et evaluation.
Quelles sont les 5 "etapes" de l article 7 de la norme ISO 27001 ? ; Attribuer les Ressources > Gestion des Competences > Gestion de la Sensibilisation > Communication > Informations documentees.
Pourquoi est-ce important de laisser fonctionner le SMSI quelques temps avant de passer la certification ? ; Car un SMSI trop jeune ne peut pas prouver qu il effectue de l amelioration continue (pas d audit interne, ni de revue des risques, ni de modifications des process).
Combien de temps est valable la certification 27001 ? ; Elle est valable 3 ans et doit etre renouvelee au bout de cette periode, mais des audits de controle sont effectues tous les ans.
La societe TR-ISO a obtenu sa certification ISO 27001, au bout d un an, la visite de controle detecte plusieurs non-conformites majeures. La societe peut-elle se faire suspensdre sa certification? ; OUI.
Est-il obligatoire d attendre que la PSSI et la DDA soit redigee avant de mettre en place les mesures de securite ? ; NON, il existe des mesures obligatoires connues et certaines mesures peuvent deja etre identifiees avant l AR.
Citez les intitules des chapitres 4 a 10 d ISO 27001. ; Contexte > Leadership > Planification > Support > Fonctionnement > Evaluation des performances > Amelioration.
Quelle norme peut nous servir dans le chapitre 9 ? ; ISO 27004 pour les indicateurs de mesure d un SMSI.
